"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_ANOMALY_MANAGER_TITLE","Anomalies","Anomalies","Anomálie","Anomalien","Аномалии","Anomalie","Anomáliák","Anomalie","Anomalía","Anomalies","异常现象","アノマリー","Anomalias","异常现象",
"VSTR_TOOLTIP_ANOMALY_MANAGER","Anomaly spawn settings and artifact presets","Anomaly spawn settings and artifact presets","Nastavení spavna anomálií a předvoleb artefaktů","Einstellungen für Anomalie-Spawn und Artefakt-Presets","Настройки спавна аномалий и пресетов артефактов","Ustawienia odradzania anomalii i ustawień artefaktów","Anomaly spawn beállítások és artifact beállítások","Impostazioni di spawn di anomalie e preset di artefatti","Configuración de anomalías de generación y ajustes preestablecidos de artefactos","Paramètres spawn anomalies et artefacts préréglages","异常生成设置和工件预设","アノマリースポーン設定とアーティファクトプリセット","Configurações de spawn anomalias e predefinições artefatos","异常生成设置和工件预设",
"VSTR_ANOMALY_LIST","List of anomalies","List of anomalies","Seznam anomálií","Liste der Anomalien","Список аномалий","Lista anomalii","Anomáliák listája","Elenco delle anomalie","Lista de anomalías","Liste des anomalies","异常情况一览表","異常のリスト","Lista de anomalias","异常情况一览表",
"VSTR_TITLE_ANOMALY_TYPES","Types of anomalies","Types of anomalies","Typy anomálií","Arten von Anomalien","Типы аномалий","Rodzaje anomalii","Az anomáliák típusai","Tipi di anomalie","Tipos de anomalías","Types d'anomalies","异常的类型","異常の種類","Tipos de anomalias","异常的类型",
"STR_SelectMenu_Teleports","Teleports","Teleports","Teleporty","Teleporter","Телепорты","Teleporty","Teleportok","Teletrasporto","Teletransportadores","Téléporteurs","传送点","テレポート","Teletransporte","传送点",
"STR_SelectMenu_Statics","Static","Static","Statický","Statische","Статические","Statyczny","Statikus","Statici","Estáticos","Statique","静态","静的","Estático","静态",
"STR_SelectMenu_Dynamics","Dynamic","Dynamic","Dynamický","Dynamische","Динамические","Dynamiczny","Dinamikus","Dinamici","Dinámicos","Dynamique","动态的","ダイナミック","Dinâmico","动态的",
"VSTR_ANOMALY_ZONE_LIST","Spawn zones","Spawn zones","Spavna zóny","Spawn-Zonen","Зоны спавна","Strefy odradzania","Spawn zónák","Zone di spawn","Zonas de germinación","Zones de spawn","产卵区","スポーンゾーン","Áreas de spavna","产卵区",
"STR_SelectMenu_All","All","All","Všechen","Aller","Все","Wszystkie","Minden","Tutto","Todos","Tous","全部","すべて","Todos","全部",
"VSTR_SEARCH_ANOMALY","Search...","Search...","Vyhledávání...","Suche...","Поиск...","Szukaj...","Keresés...","Ricerca...","Búsqueda...","Chercher...","搜索。..","検索。..","Procura...","搜索。..",
